t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19
4.000000000000000222e-01,4.194139539214569168e-01,1.138800458600550458e+00,1.519194526013484037e+00,-6.931399450020151454e-01,9.609288499056332089e-01,-3.353759819693985511e-01,-5.999943332640535198e-02,-9.649754150935295482e-02,3.658946963948069009e-02,1.227558592776115454e+00,2.264722650245659108e-01,-2.033263795073435021e-01,-3.864284557934315467e-01,5.103217146081207023e-01,-1.048617989207823786e+00,-6.729000547704205859e-01,-4.374781615786647870e-02,-7.414223964782470366e-01,-1.482971428119567725e-01,-7.876610879492481621e-01
4.100000000000000311e-01,4.346718705823720552e-01,1.156606478336807298e+00,1.535969269470752963e+00,-7.129645639040543825e-01,9.786685938923186390e-01,-3.460220284973254956e-01,-5.885227776092524093e-02,-9.691596863378204585e-02,4.166473187695914765e-02,1.245339349125896833e+00,2.378105961273147828e-01,-2.084226245685688872e-01,-3.990165288372875541e-01,5.266401445299144779e-01,-1.066222958075926375e+00,-6.925238851027686326e-01,-4.191513883886816005e-02,-7.615623838107423715e-01,-1.509779968887395296e-01,-8.078929931203185921e-01
4.199999999999999845e-01,4.508723933815260709e-01,1.175058866884807207e+00,1.553061969297851785e+00,-7.337353409489085765e-01,9.971705487459067152e-01,-3.579081669238389218e-01,-5.788555906604130052e-02,-9.767809094558359273e-02,4.696269513374556198e-02,1.263693895415522794e+00,2.499113597158594824e-01,-2.143282980576077246e-01,-4.129369069060175867e-01,5.439039007030995743e-01,-1.083944228309255964e+00,-7.131544508039631136e-01,-4.019136148089665073e-02,-7.824984075294320052e-01,-1.542341604128079635e-01,-8.287764874920924285e-01
4.299999999999999933e-01,4.674433662738460282e-01,1.193605331567681116e+00,1.570108098060437607e+00,-7.547358220352357039e-01,1.015803500962834560e+00,-3.704351090985447681e-01,-5.693643090073861879e-02,-9.855581820718493924e-02,5.246951505686042738e-02,1.282116450486063597e+00,2.624335777233361977e-01,-2.206345597062439046e-01,-4.275314912390197897e-01,5.614786721174770401e-01,-1.101411635352691043e+00,-7.340618995693131144e-01,-3.844307557145017901e-02,-8.035537992599289803e-01,-1.577476795966908929e-01,-8.496811410831950351e-01
4.400000000000000022e-01,4.846791732573572098e-01,1.212416430202729156e+00,1.587290485019347663e+00,-7.761207666452168974e-01,1.034785402786230879e+00,-3.839607928106013590e-01,-5.615769454629134655e-02,-9.974811965031898930e-02,5.815994368293039146e-02,1.300765406271789937e+00,2.755612403803310850e-01,-2.276501987102104163e-01,-4.431485268430533364e-01,5.796772269235900277e-01,-1.118771882297517895e+00,-7.554118493965732428e-01,-3.680182538854535890e-02,-8.248620243986142242e-01,-1.617767675894518364e-01,-8.707264926230220414e-01
4.500000000000000111e-01,5.025814502799064165e-01,1.231431450170467956e+00,1.604622810946465972e+00,-7.977571748547047648e-01,1.054049378699133621e+00,-3.985113649149883974e-01,-5.559979651845441823e-02,-1.013156513442519252e-01,6.401433000681749919e-02,1.319592166319467408e+00,2.893075599124114161e-01,-2.354467153177938477e-01,-4.597820264372985410e-01,5.984886779186953110e-01,-1.136021593164329380e+00,-7.770703358397241800e-01,-3.531299383720364060e-02,-8.462977206352906290e-01,-1.663918199897408690e-01,-8.918003680013494305e-01
4.600000000000000200e-01,5.211453255891284053e-01,1.250599526410505646e+00,1.622124586123051104e+00,-8.195229777533430404e-01,1.073531143346428962e+00,-4.140963195399379182e-01,-5.531194365878660396e-02,-1.033180408880472190e-01,7.001610090857801616e-02,1.338559898920175906e+00,3.036868545519289531e-01,-2.440907002052457031e-01,-4.774063310579022001e-01,6.178934188987182941e-01,-1.153171460662163916e+00,-7.989114814083690952e-01,-3.402047720942782266e-02,-8.677522460868327681e-01,-1.716612738057827492e-01,-9.128112171196998137e-01
4.700000000000000289e-01,5.403576452765168625e-01,1.269880660376811354e+00,1.639817784268819079e+00,-8.413126504919026249e-01,1.093171790528294052e+00,-4.307061670850644841e-01,-5.534067120310300764e-02,-1.058121663444618471e-01,7.615255540801865730e-02,1.357643202065665466e+00,3.187132514801015448e-01,-2.536409302061898852e-01,-4.959754733751730593e-01,6.378622214777086574e-01,-1.170242582129949360e+00,-8.208236184719542861e-01,-3.296536229516971311e-02,-8.891377190598482860e-01,-1.776493421166965014e-01,-9.336904032368568140e-01
4.799999999999999822e-01,5.604692833539982599e-01,1.289314282719311811e+00,1.657961888796948724e+00,-8.630946160903230080e-01,1.113005175170109551e+00,-4.485928512637969434e-01,-5.597839153449985644e-02,-1.091363730409685845e-01,8.229409781415836234e-02,1.376916290265197906e+00,3.345442666781079932e-01,-2.644794019982994460e-01,-5.156657022950293934e-01,6.586328057371891864e-01,-1.187416303521819483e+00,-8.427717060106244551e-01,-3.241588800250698454e-02,-9.104376566996630338e-01,-1.847341521065128667e-01,-9.544430918460599100e-01
4.899999999999999911e-01,5.809019318493509054e-01,1.308745620976972557e+00,1.676098214703956257e+00,-8.846952533584767631e-01,1.132818325242073376e+00,-4.671518377122154120e-01,-5.677695362447611471e-02,-1.127817395038595988e-01,8.867381773760459052e-02,1.396195199850360336e+00,3.509031136915455873e-01,-2.759901187683741486e-01,-5.359164044631100632e-01,6.796033189699975940e-01,-1.204413617733962383e+00,-8.645650138773740556e-01,-3.195483957411030668e-02,-9.315087391234921910e-01,-1.923416986865272293e-01,-9.749405398200660100e-01
